id;local_name;en_wiki_mainaffiliation;en_wiki_subaffiliations;en_wiki_aliases;en_wiki_bounty;en_wiki_dftype;en_wiki_occupation_actuelle;en_wiki_autres_occupations;en_wiki_origin;fr_wiki_affiliation;fr_wiki_aliases;fr_wiki_dftype;fr_wiki_lieuvie;fr_wiki_occupation;fr_wiki_origine;fr_wiki_prime;final_age;final_height;final_status;final_premiere;final_dfname;final_bounty
franky;Franky;Straw Hat Pirates;Straw Hat Grand Fleet,Franky Family,Tom's Workers,Ninja-Pirate-Mink-Samurai Alliance;Fra-nosuke,Furanosuke,English versions: Franosuke,Cutty Flam,Kati Furamu,Iron Man' Franky,Tetsujin Furanki,Cyborg' Franky,Saibogu Furanki,Furanki;394,000,000;;Shipwright;"Senior Officer; Dismantler; Underworld boss; Bounty Hunter";South Blue;L'Équipage du Chapeau de PailleFranky Family Tom's Workers;Franky Le Cyborg, Franky, Cutty Flam, Furankī, Saibōgu Furankī, Kati Furamu;;Water Seven Baldimore;CharpentierDésosseurPirateChef de la Franky Family;South Blue;394.000.00094.000.00044.000.000;36 ans;240 cm;Vivant(e);"Chapitre 329 ; Épisode 233";Aucun;394 000 000
fukaboshi;Fukaboshi;Neptune Family;Aucune;Fukaboshi;;;Prince of the Ryugu Kingdom;;Ryugu Kingdom;"Hommes-poissons; Famille royale de l'île des hommes-poissons";Fukaboshi;;;Prince du Ryugu Palace;Île des Hommes-Poissons, Royaume Ryugu;;24 ans;604 cm;Vivant(e);"Chapitre 609 ; Épisode 528";Aucun;Aucune
fukurokuju;Fukurokuju;Kurozumi Family;Beasts Pirates,Orochi Oniwabanshu,Kouzuki Family;Fukurokuju;;;Ninja;Captain of the Orochi Oniwabanshu;Wano Country;O-Niwaban Pays de Wa L'Équipage aux Cent Bêtes;Fukurokuju;;Pays des Wa, Capitale des Fleurs;Ex-Commandant des O-Niwaban Ninja Pirate;Pays des Wa;;61 ans;221 cm;Inconnu;"Chapitre 931 ; Épisode 925";Aucun;Aucune
fullbody;Fullbody;Marines;Aucune;Double Ironfist Fullbody,Ryotekken no Furubodi,Ironfist Fullbody,Tekken no Furubodi,Furubodi;1,000,000;;Marine Lieutenant Commander;Marine Lieutenant, demoted;North Blue;Marine;Fullbody aux Poings d'Aciers, Fullbody, Furubodi, Ryōtekken no Furubodi;;;MarinesLieutenant CommandantLieutenant 3e Classe;North Blue;;28 ans;184 cm;Vivant(e);"Chapitre 43 ; Épisode 20";Aucun;Au moins 1 000 000
galdino;Galdino;Cross Guild;Buggy's Delivery,Buggy Pirates,Buggy and Alvida Alliance,Baroque Works;Mr. 3,Misuta Suri,Loan Shark,Yamikin,Gyarudino;24,000,000;Paramecia;Pirate;"Officer Agent; Prisoner of the Great Prison";South Blue;Alliance Baggy et Alvida/Les Pirates d'Expédition Baroque Works Cross Guild;Mr 3, L'Usurier, Galdino, Gyarudīno, Misutā Surī, Yamikin;Paramecia;Alabasta Impel Down Île de Kalai Bali;Agent numéro 3 du Baroque Works Lieutenant de Alliance Baggy et Alvida/Les Pirates d'Expédition Lieutenant de la Cross Guild;South Blue;24.000.000;37 ans;179 cm;Vivant(e);"Chapitre 117 ; Épisode 70";Doru Doru no Mi;24 000 000
gan-forr;Gan Forr;Skypiea;Aucune;Knight of the Sky,Sora no Kishi,VIZ and Funimation: Sky Knight,4Kids: Sky Lord,Gan Foru;;;God of Skypiea;Mercenary;Skypiea;Skypiéa;Le Chevalier des Cieux, Gan Forr, Gan Fōru, Sora no Kishi;;;Dieu de SkypiéaMercenaire;Skypiea;;68 ans;180 cm;Vivant(e);"Chapitre 237 ; Épisode 153";Aucun;Aucune
gecko-moria;Gecko Moria;Equipage de Gecko Moria;Seven Warlords of the Sea,Mysterious Four, Thriller Bark;Kouzuki Moria,Kozuki Moria,'Kozuki Moria,Gekko Moria;320,000,000;Paramecia;Pirate Captain;Warlord of the Sea;West Blue;;Pirates Gecko, Gekkō Kaizokudan, L'Équipage des Pirates Gecko;;;;;;50 ans;692 cm;Vivant(e);"Chapitre 448 ; Épisode 343";Kage Kage no Mi;320 000 000
gedatsu;Gedatsu;Ukkari Hot-Spring Island;God's Army;Sky Boss,Sora Bancho,Sky Punk,4Kids,FUNimation,Gedatsu;;;Priest of Enel, Head Clerk of Hot Springs Resort;;Birka;Clan d'Ener;Défenseur Céleste, Gedatsu, Sora Banchō;;;Prélat;Bilca;;31 ans;220 cm;Vivant(e);"Chapitre 241 ; Épisode 155";Aucun;Aucune
gem;Gem;New Spiders Cafe;Baroque Works;Mr. 5,Misuta Faibu,Gem of the Border,Kokkyo no Jemu,Jemu;10,000,000;Paramecia;Cafe Employee;"Officer Agent; Sniper";South Blue;"Baroque Works ; Spider's Café";Mr 5, Gem de la Frontière, Gem, Jemu, Misutā Faibu, Kokkyō no Jemu;Paramecia;;"Co-propriétaire du Spiders Café ; Agent Officier de Baroque Works";South Blue;10.000.000;26 ans;197 cm;Vivant(e);"Chapitre 110 ; Épisode 65";Bomu Bomu no Mi;10 000 000
gerd;Gerd;New Giant Warrior Pirates;Buggy's Delivery,Straw Hat Grand Fleet;Geruzu;;;Pirate;"Doctor; Mercenary";Elbaph;"Erbaf; Les Pirates d'Expédition ; L'Équipage du Chapeau de Paille; La Grande Flotte du Chapeau de Paille";Gerd, Gerth, Geruzu;;Erbaf;Doctoresse;Erbaf;;75 ans;1700 cm;Vivant(e);"Chapitre 866 ; Épisode 836";Aucun;Inconnu
gladius;Gladius;Donquixote Pirates;Aucune;Guradiusu;31,000,000;Paramecia;Pirate Officer;;North Blue;L'Équipage de Don Quichotte Doflamingo;Gladius, Guradiusu;Paramecia;Spider Miles Dressrosa;PirateAssassin;North Blue;31.000.000;33 ans;260 cm;Vivant(e);"Chapitre 682 ; Épisode 608";Pamu Pamu no Mi;31 000 000
gotti;Gotti;Fire Tank Pirates;Aucune;Gotti;90,000,000;;Pirate, Assassin, Combatant;;West Blue;L'Équipage du Fire Tank;Gotti, Gotty;;;AssassinPirates;West Blue;90.000.000;33 ans;375 cm;Vivant(e);"Chapitre 825 ; Épisode 783";Aucun;90 000 000
hack;Hack;Revolutionary Army;Aucune;Hundredth Dan Hack,Hyakudan Hakku,Hundredth-Degree Hack,Hakku;;;Revolutionary Army memberFish-Man Karate InstructorFish-Man Jujutsu Martial Artist;;Ryugu Kingdom;Armée Révolutionnaire;Hack, Hakku;;;Maître du Karaté des Hommes-PoissonsRévolutionnaire;Île des Hommes-Poissons;;38 ans;280 cm;Vivant(e);"Chapitre 706 ; Épisode 633";Aucun;Aucune
haguar-d-sauro;Haguar D. Sauro;Walrus School;Marines,Clan of D.;Haguwaru Di Sauro;;;History TeacherVice Admiral;;South Blue;"Marines ; Clan des D.";Haguar D. Sauro, D, Haguwāru Dī Sauro;;Erbaf;Professeur d'HistoireVice-Amiral;South Blue;;127 ans;1950 cm;Vivant(e);"Chapitre 392 ; Épisode 275";Aucun;Aucune
hajrudin;Hajrudin;New Giant Warrior Pirates;Buggy's Delivery,Straw Hat Grand Fleet,Elbaph Royal Family;Hairudin;;;Captain of the Sixth Ship of the Straw Hat Grand Fleet;"Pirate Captain; Mercenary; Prince";Elbaph;ErbafLes Pirates d'Expédition L'Équipage du Chapeau de Paille, La Grande Flotte du Chapeau de Paille;Le Pirate Mercenaire, Hajrudin, Hairudin, Kaizoku Yōhē;;;PirateGuerrierCapitaine, Commandant d'une Flotte;Erbaf;;81 ans;2200 cm;Vivant(e);"Chapitre 706 ; Épisode 639";Aucun;Inconnu
hannyabal;Hannyabal;Impel Down;Aucune;Hannyabaru;;;Chief Warden;Vice Warden;South Blue;Gouvernement MondialImpel Down;Hannyabal, Hannyabaru;;;DirecteurVice Directeur;South Blue;;35 ans;309 cm;Vivant(e);"Chapitre 525 ; Épisode 422";Aucun;Aucune
haredas;Haredas;Weatheria;Aucune;Haredasu;;;Scientist;;Birka;Weatheria;Haredas, Haredasu;;Weatheria;Scientifique;Bilca;;97 ans;253 cm;Vivant(e);"Chapitre 523 ; Épisode 418";Aucun;Aucune
hina;Hina;Marines;Black Cage Corps;Black Cage Hina,Kuro Ori no Hina,Hina;200,000,000;Paramecia;Rear Admiral;Captain;West Blue;"Marine ; L’Escadre des Harpons Noirs";Hina la Cage Noire, Hina la Dame de Fer, Hina, Kuro Ori no Hina;Paramecia;;"Marine ; Capitaine ; Sous-Amiral";West Blue;;34 ans;181 cm;Vivant(e);"Chapitre 171 ; Épisode 127";Ori Ori no Mi;Inconnu
hody-jones;Hody Jones;New Fish-Man Pirates;Ally of the Flying Pirates,Ryugu Kingdom;Hodi Jonzu;;;Pirate;"Captain; Soldier";Ryugu Kingdom;L'Équipage des Nouveaux Hommes-Poissons;Hody Jones, Hōdi Jōnzu;;;Capitaine PirateSoldat de l'armée de Ryugu;Île des Hommes-Poissons, Royaume Ryugu;;30 ans;331 cm;Vivant(e);"Chapitre 608 ; Épisode 527";Aucun;Inconnu
hogback;Hogback;Equipage de Gecko Moria;Mysterious Four, Thriller Bark;Doctor Hogback,Dokutoru Hogubakku,Genius Surgeon,Tensai Gekai,Hogubakku;;;Doctor;;West Blue;Gecko Moria Thriller Bark Quatre Mystérieux;Hogback, Hogubakku;;;Docteur;West Blue;;47 ans;223 cm;Vivant(e);"Chapitre 446 ; Épisode 340";Aucun;Aucune
holdem;Holdem;Beasts Pirates;Aucune;Horudemu;;Artificial Zoan;Shinuchi;;Wano Country;Équipage des cent bêtes;Holdem, Hōrudemu;SMILE;;"Pirate; Headliner";Pays des Wa;;30 ans;312 cm;Vivant(e);"Chapitre 915 ; Épisode 901";Lion SMILE;Inconnu
ideo;Ideo;Ideo Pirates;Straw Hat Grand Fleet;Destruction Cannon,Hakai Ho,Ideo;;;Captain of the Fourth Ship of the Straw Hat Grand Fleet;"Pirate Captain; Boxer";Grand Line;"L'Équipage d'Ideo ;La Grande Flotte du Chapeau de Paille ;Central Fighting Club du Nouveau Monde ;Colisée Corrida";Le Canon Destructeur, Ideo, Kuchiku Kanhō;;;Boxeur, Gladiateur;Grand Line;;22 ans;225 cm;Vivant(e);"Chapitre 706 ; Épisode 633";Aucun;Inconnu
inazuma;Inazuma;Kamabakka Kingdom;Newkama Land,Revolutionary Army,Impel Down;Inazuma;100,000,000;Paramecia;Revolutionary;Prisoner of the Great Prison;South Blue;Révolutionnaires Kedétrav;Crabe-chan, Inazuma, Kani-chan;Paramecia;Kedétrav;Sous-Commandant de l'Armée G;South Blue;100.000.000;29 ans;228 cm;Vivant(e);"Chapitre 536 ; Épisode 438";Choki Choki no Mi;100 000 000
inuarashi;Inuarashi;Mokomo Dukedom;Musketeers,Kouzuki Family,Inuarashi Musketeer Squad,Ninja-Pirate-Mink-Samurai Alliance,Nine Red Scabbards,Roger Pirates,Whitebeard Pirates;Duke Inuarashi,Inuarashi Koshaku,English versions: 'Duke Dogstorm,Ruler of Day,Hiru no O,Simulcast subs: 'King of Day,Inuarashi;;;Daimyo;"Ruler of the Mokomo Dukedom; Commander of the Musketeers; Retainer; Samurai; Pirate Apprentice";Mokomo Dukedom;Principauté de Mokomo Famille Kozuki L'Équipage des Pirates Roger L'Équipage de Barbe Blanche Neuf Fourreaux Rouges Alliance des Ninjas-Pirates-Minks-Samouraïs;Le Roi de l'Aurore - Duc Inuarashi, Inuarashi, Caborage, Inu-Arashi, Hiru no Ō, Inuarashi Kōshaku;;Pays des Wa;Daimyo Guardians de la Forêt de la Baleine Pirate;Zou, Principauté de Mokomo;;40 ans;511 cm;Vivant(e);"Chapitre 808 ; Épisode 756";Aucun;Inconnu
issho;Issho;Marines;Aucune;Fujitora,literally meaning 'Wisteria Tiger,Issho;3,000,000,000;Paramecia;Admiral;"Guard Captain; Bodyguard";Aoi Kingdom;Marines;Fujitora, Issho, Tigre Violet;Paramecia;;Amiral Chef militaire Garde du corps;Grand Line;3,000,000,000;54 ans;270 cm;Vivant(e);"Chapitre 701 ; Épisode 630";Zushi Zushi no Mi;3 000 000 000
izou;Izou;Whitebeard Pirates;Kouzuki Family,Ninja-Pirate-Mink-Samurai Alliance;Izo;510,000,000;;16th Division Commander;"Samurai; Retainer of the Kouzuki Family";Wano Country;L'Équipage de Barbe BlancheFamille KozukiAlliance des Ninjas-Pirates-Minks-Samouraïs Neuf Fourreaux Rouges;Izou, Izō;;Pays des Wa, Moby Dick;Commandant de la 16ème Division de L'Équipage de Barbe BlancheTireur d'ÉliteVassaux de la Famille Kozuki;Pays des Wa, Ringo;510.000.000;45 ans;192 cm;Décédé(e);"Chapitre 553 ; Épisode 461";Aucun;510 000 000
jack;Jack;Beasts Pirates;Aucune;Jack the Drought,Kangai no Jakku,Jakku;1,000,000,000;Ancient Zoan;All-Star;"Captain of the Mammoth; De Facto Ruler of Kuri";Grand Line;Équipage des cent bêtes;Jack la Sécheresse, Jack, Jakku, Kangai no Jakku;Zoan Antique;Pays des Wa;Pirate, Capitaine du MammouthCalamité;Grand Line;1,000,000,000;28 ans;830 cm;Vivant(e);"Chapitre 801 ; Épisode 746";Zou Zou no Mi, Model: Mammoth;1 000 000 000
jesus-burgess;Jesus Burgess;Blackbeard Pirates;Aucune;Mr. Store,Mr.,Misuta Sutoa,Champion,Chanpion,Jizasu Bajesu;20,000,000;Paramecia;Titanic Captain, Captain of the First Ship;Helmsman;Grand Line;L'Équipage de Barbe Noire;Mr. Store, Champion, Jesus Burgess, Jīzasu Bājesu, Mr, Misutā Sutoa, Chanpion;Paramecia;;Timonier de L'Équipage de Barbe NoireCommandant de la 1ère flotte de L'Équipage de Barbe Noire;Grand Line;20.000.000;29 ans;355 cm;Vivant(e);"Chapitre 222 ; Épisode 146";Riki Riki no Mi;20 000 000
jewelry-bonney;Jewelry Bonney;Bonney Pirates;Aucune;Conney,Koni,Big Eater,O-Gurai,English versions: 'Glutton,Jueri Boni;320,000,000;Paramecia;Pirate Captain;Princess;Mary Geoise;L'Équipage de Bonney Onze Supernovae;Conney, La Gloutonne, Jewelry Bonney, Juerī Bonī, Konī, Infiltration, Ō Gurai;Paramecia;Royaume de Sorbet;Capitaine Pirate;South Blue;320 000 000 140 000 000;12 ans;174 cm;Vivant(e);"Chapitre 498 ; Épisode 392";Toshi Toshi no Mi;320 000 000
jinbe;Jinbe;Straw Hat Pirates;Straw Hat Grand Fleet,Sun Pirates,Ally of the Big Mom Pirates,Seven Warlords of the Sea,Ryugu Kingdom,Impel Down,Ninja-Pirate-Mink-Samurai Alliance;Knight of the Sea' Jinbe,Kaikyo no Jinbe,English versions: 'First Son of the Sea,Boss Jinbe,Jinbe Oyabun,Jinbe;1,100,000,000;;Pirate;"Helmsman; Senior Officer; Captain; Warlord of the Sea; Soldier; Prisoner of the Great Prison";Ryugu Kingdom;Équipage de Chapeau de PailleÉquipage des Pirates du Soleil Allié de L'Équipage de Big Mom Grand Corsaire Royaume Ryugu;"JinbeiJimbei, Jinbe ""Le Paladin des Mers"" ; Jinbei ""Le Preux, Jinbe, Kaikyō no Jinbē, ancienne édition";;;"Pirate; TimonierCapitaine Corsaire Second Soldat";Île des Hommes-Poissons, Royaume Ryugu;1.100.000.000438,000,000250.000.00076.000.000;46 ans;301 cm;Vivant(e);"Chapitre 528 ; Épisode 430";Aucun;1 100 000 000
johnny;Johnny;Yosaku;Roronoa Zoro's band;Joni;;;Bounty Hunter;Fisherman;East Blue;Yosaku;Johnny, Jonī;;;Chasseurs de Primes;East Blue;;25 ans;186 cm;Vivant(e);"Chapitre 42 ; Épisode 19";Aucun;Aucune
jora;Jora;Donquixote Pirates;Aucune;Jora;;Paramecia;Pirate Officer;;North Blue;Équipage de Don Quijote;Jora;Paramecia;Spider Miles Dressrosa;Pirate et Assassin;North Blue;;61 ans;221 cm;Vivant(e);"Chapitre 682 ; Épisode 608";Ato Ato no Mi;Inconnu
joz;Joz;Whitebeard Pirates;Aucune;Diamond' Jozu,Daiyamondo Jozu,Jozu;Unknown;Paramecia;Pirate;3rd Division Commander;West Blue;L'Équipage de Barbe Blanche;"Jaws, Diamant"" Joz, Joz, Jozu, Daiyamondo Jozu";Paramecia;;Commandant de la 3e Division, Pirate;West Blue;Inconnue;42 ans;503 cm;Vivant(e);"Chapitre 234 ; Épisode 151";Kira Kira no Mi;Inconnu
kaidou;Kaidou;Beasts Pirates;Rocks Pirates,Four Emperors;Kaidou of the Beasts,Hyakuju no Kaido,English versions: 'Kaido,King of the Beasts,The Strongest Creature,Saikyo no Seibutsu,Wise King,Myoo,English versions: 'Deity,Kaido;4,611,100,000;Mythical Zoan;Governor-General;"Emperor; Soldier; Apprentice";Grand Line;L'Équipage de Rocks L'Équipage aux Cent Bêtes Quatre Empereurs Pays des Wa Onigashima;Kaidou aux Cent Bêtes, La Plus Puissante Créature du Monde, Le Roi Sage, Le Roi Dragon, Kaidou, Kaido, Hyakujū no Kaidō, Kono Yo ni Okeru Saikyō Seibutsu, Myōō;Zoan Mythique;Pays des Wa, Onigashima, Royaume de Vodka;Pirate Capitaine;Grand Line;4.611.100.00070.000.000;59 ans;710 cm;Inconnu;"Chapitre 795 ; Épisode 739";Uo Uo no Mi, Model: Seiryu;4 611 100 000
karasu;Karasu;Revolutionary Army;North Army;Karasu;400,000,000;Logia;North Army Commander of the Revolutionary Army;;North Blue;Révolutionnaires;Karasu, Corbeau;Logia;Baltigo Kedétrav;Commandant de la troupe Septentrionale;North Blue;400.000.000;47 ans;265 cm;Vivant(e);"Chapitre 593 ; Épisode 510";Susu Susu no Mi;400 000 000
karoo;Karoo;Super Spot-Billed Duck Troops;Nefertari Vivi, Straw Hat Pirates, Baroque Works;Karu;;;Pet;"Royal Transport; Captain of the Super Spot-Billed Duck Troops; Pirate";Arabasta Kingdom;AlabastaBaroque Works Équipage du Chapeau de Paille L'Escadron des Super Canards;Karoo, Kaloo, Karū;;;Animal de compagnieMonture;Royaume d'Alabasta;;16 ans;150 cm;Vivant(e);"Chapitre 109 ; Épisode 65";Aucun;Aucune
killer;Killer;Kid Pirates;Kurozumi Orochi,Ninja-Pirate-Mink-Samurai Alliance;Kamazo the Manslayer,Hitokiri Kamazo,'Hitokiri Kamazo,Massacre Soldier,Satsuriku Bujin,'Murder Machine,Kira;200,000,000;;Pirate;"Combatant; Assassin";Kutsukku Island;L'Équipage de KidOnze Supernovae;Kamazo l'Assassin, Le Massacreur, Killer, Kirā, Hitokiri Kamazō, Satsuriku Bujin;;;"Pirates ; Second";South Blue;200 000 000 162 000 000;27 ans;195 cm;Inconnu;"Chapitre 498 ; Épisode 392";Aucun;200 000 000
kinemon;Kinemon;Kouzuki Family;Ninja-Pirate-Mink-Samurai Alliance,Nine Red Scabbards;Foxfire Kin'emon,Kitsune-bi no Kin'emon,Kin'emon;;Paramecia;Samurai;"Great Elder of the Shogunate; Retainer of the Kouzuki Family; Leader of the Nine Red Scabbards; Thief";Wano Country;Famille Kozuki Neuf Fourreaux Rouges;Kinemon le Renard à la Flamme, Kinemon, Kin'emon, Kitsune-bi no Kin'emon;Paramecia;Pays des Wa;Samouraï Épéiste Doyen du Shogunat;Pays des Wa;;36 ans;295 cm;Vivant(e);"Chapitre 656 ; Épisode 580";Fuku Fuku no Mi;Aucune
koby;Koby;Marines;Alvida Pirates,SWORD,Marine 153rd Branch;Hero,Eiyu,Kobi;500,000,000;;Marine Captain;Master Chief Petty Officer;Satsuruzo Kingdom;L'Équipage d'Alvida MarineSWORD;Coby, Koby, Kobby, Kobī;;;Capitaine, 1ère Classe Pirate Mousse;East Blue, Royaume de Satsuruzo;500,000,000;18 ans;167 cm;Vivant(e);"Chapitre 2 ; Épisode 1";Aucun;500 000 000
kokoro;Kokoro;Tom's Workers;Aucune;Kokoro;;;Stationmaster;'Lovely' secretary of Tom;Ryugu Kingdom;Tom's Workers;Cocoro, Kokoro;;Water Seven, Gare de Shift;Conductrice du Puffing TomSecrétaire de charme de Tom;Île des Hommes-Poissons;;72 ans;168 cm;Vivant(e);"Chapitre 322 ; Épisode 229";Aucun;Aucune
koza;Koza;Arabasta Kingdom;Sand-Sand Clan,Rebel Army;Koza;;;Environmental Minister;"Rebel Army leader; Sand-Sand Clan leader";Arabasta Kingdom;Alabasta;Kohza, Koza;;;Ministre royal de l'environnement Chef de l'armée rebelle Chef du Clan des Sables;Royaume d'Alabasta;;22 ans;177 cm;Vivant(e);"Chapitre 163 ; Épisode 93";Aucun;Aucune
kozuki-hiyori;Kozuki Hiyori;Kouzuki Family;Ninja-Pirate-Mink-Samurai Alliance;Komurasaki,Kozuki Hiyori;;;Oiran;;Moby Dick;Famille Kozuki;Komurasaki, Kozuki Hiyori;;Pays des Wa, Kuri, Capitale des Fleurs;Grande courtisane;Grand Line, Moby Dick;;26 ans;170 cm;Vivant(e);"Chapitre 909 ; Épisode 892";Aucun;Aucune
kozuki-momonosuke;Kozuki Momonosuke;Kouzuki Family;Ninja-Pirate-Mink-Samurai Alliance;Kozuki Momonosuke;;Mythical Zoan;Shogun;;Moby Dick;Famille Kozuki Alliance des Ninjas-Pirates-Minks-Samouraïs;Kozuki Momonosuke;Zoan Mythique;Pays des Wa;Shogun Samouraï;Grand Line, sur le Moby Dick;;8 ans;322 cm;Vivant(e);"Chapitre 684 ; Épisode 609";Uo Uo no Mi, Model: Seiryu;Aucune
kureha;Kureha;Sakura Kingdom;Isshi-100;Doctorine,Dokutorinu,Witch,Majo,Master of Doctors,Masuta Obu Isha,Kureha;;;Head-Doctor of the Sakura Kingdom;Leader of the Isshi-100;Drum Kingdom;Royaume des Cerisiers;Sorcière, Dr Kureha, Doctorine, Kureha, Majo, Dr. Dokutā Kureha, Dokutorīnu;;Île de Drum;Docteur;Grand Line (Île de Drum);;141 ans;188 cm;Vivant(e);"Chapitre 134 ; Épisode 80";Aucun;Aucune
kuromarimo;Kuromarimo;Bliking Pirates;Drum Kingdom;Kuromarimo;;;Evil Magistrate, Magistrate;Pirate;Drum Kingdom;Équipage de Wapol, Royaume des Cerisiers;Kuromarimo;;;Magistrat Pirate;Royaume de Drum;;30 ans;186 cm;Vivant(e);"Chapitre 131 ; Épisode 79";Aucun;Aucune
kuroobi;Kuroobi;Arlong Pirates;Sun Pirates;Kuro'obi;9,000,000;;Pirate Officer;;Ryugu Kingdom;Équipage d'ArlongÉquipage des Pirates du Soleil;Kuroobi, Kuro'obi;;Arlong Park;Pirate;Île des hommes-poissons, Royaume Ryugu;9.000.000;38 ans;252 cm;Vivant(e);"Chapitre 69 ; Épisode 31";Aucun;9 000 000
kuzan;Kuzan;Blackbeard Pirates;Marines;Aokiji,literally meaning 'Blue Pheasant,Kuzan;;Logia;Titanic Captain, Captain of the Tenth Ship;"Admiral; Vice Admiral";Vespa Kingdom territory;Équipage de Barbe NoireMarines Pègre assumé;Aokiji, Kuzan, Faisan Bleu;Logia;;Commandant du 10e navire de Barbe Noire.Amiral Vice-Amiral;South Blue, Royaume Vespa;;49 ans;298 cm;Vivant(e);"Chapitre 303 ; Épisode 225";Hie Hie no Mi;Inconnu
kyros;Kyros;Corrida Colosseum;Riku Family;Thunder Soldier of Rage,Ikari no Kaminari Hei,'The Angry Lightning Soldier,The Invincible Gladiator,Kyurosu;Unknown;;Gladiator;Riku Royal Army Captain;Dressrosa;Colisée Corrida Forces Royales Riku;Le Soldat Fureur Éclair, Le Gardien du Colisée, Roi Des Gladiateur, Monsieur Soldat, Kyros, Kyurosu, Rebecca;;;Gladiateur Commandant des Forces Royales Riku Épéiste;Dressrosa;Inconnue;44 ans;298 cm;Vivant(e);"Chapitre 702 ; Épisode 631";Aucun;Inconnu
laboon;Laboon;Rumbar Pirates;Crocus;Rabun;;;;;West Blue;L'Équipage du Rumbar Crocus;Laboon, Rabūn;;;Animal;West Blue;;53 ans;40000 cm;Vivant(e);"Chapitre 102 ; Épisode 62";Aucun;Aucune
laffitte;Laffitte;Blackbeard Pirates;Aucune;Demon Sheriff,Oni Hoankan,Rafitto;42,200,000;;Titanic Captain, Captain of the Fifth Ship;"Navigator; Sheriff";West Blue;L'Équipage de Barbe NoireGouvernement Mondial;Le Shérif Démoniaque, Laffitte, Rafitto, Oni Hoankan;;Île des Pirates;Pirate Navigateur Messager Gardien de la Paix;West Blue;42.200.000;41 ans;340 cm;Vivant(e);"Chapitre 234 ; Épisode 151";Aucun;42 200 000
lao-g;Lao G;Donquixote Pirates;Aucune;Rao Ji;61,000,000;;Pirate Officer;;North Blue;Équipage de Don Quijote;Lao G, G, Rao G;;Spider Miles Dressrosa;Pirate;North Blue;61.000.000;70 ans;157 cm;Vivant(e);"Chapitre 682 ; Épisode 608";Aucun;61 000 000
leo;Leo;Tontatta Kingdom;Straw Hat Grand Fleet;Warrior,Senshi,Reo;;Paramecia;Captain of the Fifth Ship of the Straw Hat Grand Fleet;Captain of the Tontatta Pirates;Green Bit;Allié de L'Équipage du Chapeau de PailleNainRoyaume de Tontatta;Léo, Reo;Paramecia;Dressrosa;GuerrierCapitaine de l'armée de TontattaPirate;Green Bit;;25 ans;23 cm;Vivant(e);"Chapitre 710 ; Épisode 640";Nui Nui no Mi;Aucune
little-oars-jr;Little Oars Jr.;Little Pirates;Subordinate of the Whitebeard Pirates;Ritoru Ozu Junia;550,000,000;;Pirate Captain;;Grand Line;Subordonné de L'Équipage de Barbe Blanche Little Pirates;Little Oars Jr, Jr, Ritoru Ōzu Junia;;;Capitaine Pirate;Grand Line;550.000.000;72 ans;6000 cm;Inconnu;"Chapitre 554 ; Épisode 463";Aucun;550 000 000
lucky-roux;Lucky Roux;Red Hair Pirates;Aucune;Rakki Ru;Unknown;;Pirate;"Senior Officer; Cook";South Blue;L'Équipage du Roux;Lucky Roux, Lucky Roo, Rakkī Rū;;;PirateCuisinier;South Blue;Inconnue;35 ans;241 cm;Vivant(e);"Chapitre 1 ; Épisode 4";Aucun;Inconnu
machvise;Machvise;Donquixote Pirates;Aucune;Mahhabaisu;11,000,000;Paramecia;Pirate Officer;;North Blue;L'Équipage de Don Quichotte Doflamingo;Machvise, Mahhabaisu;Paramecia;Spider Miles Dressrosa;Pirate;North Blue;11.000.000;52 ans;440 cm;Vivant(e);"Chapitre 682 ; Épisode 608";Ton Ton no Mi;11 000 000
magellan;Magellan;Impel Down;Aucune;Mazeran;;Paramecia;Vice Warden;Chief Warden;Grand Line;"Gouvernement Mondial ; Impel Down";Magellan, Mazeran;Paramecia;Impel Down;Gardien en Chef Directeur Vice Directeur;Grand Line;;47 ans;491 cm;Vivant(e);"Chapitre 528 ; Épisode 425";Doku Doku no Mi;Aucune
manboshi;Manboshi;Neptune Family;Aucune;Manboshi;;;Prince of the Ryugu Kingdom;;Ryugu Kingdom;Île des Hommes-Poissons;Manboshi;;;Prince;Île des Hommes-Poissons, Royaume Ryugu;;20 ans;473 cm;Vivant(e);"Chapitre 609 ; Épisode 528";Aucun;Aucune
marco;Marco;Whitebeard Pirates;Ninja-Pirate-Mink-Samurai Alliance;Marco the Phoenix,Fushicho Maruko,Maruko;1,374,000,000;Mythical Zoan;1st Division Commander;"Doctor; Apprentice";Grand Line;Équipage de Barbe BlancheAlliance des Ninjas-Pirates-Minks-Samouraïs;Marco Le Phénix, Marco, Maruko, Fushichō Maruko;Zoan Mythique;;Commandant de la première division de l'équipage de Barbe BlanchePirateDocteurMousse Pirate;Grand Line;1.374.000.000;45 ans;203 cm;Vivant(e);"Chapitre 234 ; Épisode 151";Tori Tori no Mi, Model: Phoenix;1 374 000 000
marguerite;Marguerite;Kuja Pirates;Aucune;Magaretto;;;Pirate;;Amazon Lily;KujasL'Équipage des Pirates Kuja;Marguerite, Margaret, Māgaretto;;Amazon Lily;PirateGuerrière Kuja;Amazon Lily;;18 ans;178 cm;Vivant(e);"Chapitre 514 ; Épisode 408";Aucun;Inconnu
