id;local_name;en_wiki_mainaffiliation;en_wiki_subaffiliations;en_wiki_age;en_wiki_aliases;en_wiki_bounty;en_wiki_dfname;en_wiki_dftype;en_wiki_first;en_wiki_height;en_wiki_occupation_actuelle;en_wiki_autres_occupations;en_wiki_origin;en_wiki_status;fr_wiki_affiliation;fr_wiki_âge;fr_wiki_aliases;fr_wiki_dfnom;fr_wiki_dftype;fr_wiki_lieuvie;fr_wiki_occupation;fr_wiki_origine;fr_wiki_première;fr_wiki_prime;fr_wiki_statut;fr_wiki_taille
chimney;Chimney;Kokoro;Aucune;10;Chimuni;;;;"Chapter 322; Episode 229";115 cm;Sunday stationmaster of the Shift Station;;Water 7;Alive;Gare de Shift;10 ans;"Chimney, チムニー, Chimuni";;;Water Seven (Gare de Shift);Chef de la gare Shift Station (seulement le Dimanche);Water Seven;"Chapitre 322 ; Épisode 229";;Vivante;1m15
chinjao;Chinjao;Chinjao Family;"Happo Navy ,Straw Hat Grand Fleet";78;"Don Chinjao,Chinjao the Drill,Kiri no Chinjao,Chinjao";"542,000,000";;;"Chapter 704; Episode 632";520 cm;12th Leader of the Happo Navy;Pirate;Kano Country;Alive;"Gang du Pays des Fleurs (Famille Chinjao), Flotte de Happou";78 ans;"Le Trépan (錐のチンジャオ Kiri no Chinjao), Chinjao, Don Chinjao, チンジャオ";;;;"Ex-Leader de la Flotte de HappouEx-Commandant de la Flotte de Happou (12ème), Pirate";Pays des Fleurs;"Chapitre 704 ; Épisode 632";542 000 000 (30 ans auparavant);Vivant;5m20
chouchou;Chouchou;Hocker;Aucune;14;Shushu;;;;"Chapter 12; Episode 6";40 cm;Pet;Pet Shop Keeper;Organ Islands;Alive;Hokker;14 ans;"Chouchou, シュシュ, Shushu";;;Orange Town;Animal;Archipel des Orgao;"Chapitre 12, Épisode 6";;Vivant;40cm
conis;Conis;Pumpkin Cafe;Aucune;21;Konisu;;;;"Chapter 239; Episode 154";176 cm;Waitress;;Skypiea;Alive;Café Potiron;21 ans;"Conis, コニス, Konisu";;;;Habitante d'Angel Beach;Îles Célestes (Skypiea);"Chapitre 239 ; Épisode 154";;Vivante;1m76
coribou;Coribou;Caribou Pirates;Fake Straw Hat Crew;29;"Blood-Splatterer' Coribou,Kaerichi no Koribu,Koribu";"190,000,000";;;"Chapter 600; Episode 519";250 cm;Pirate;Captain;North Blue;Alive;L'Équipage de Caribou Faux Équipage du Chapeau de Paille (temporairement);29 ans;"""Coribou L'Arroseur Sanguinaire"", Coribou, コリブー, Koribū";;;;Pirate;North Blue;"Chapitre 600 ; Épisode 519";190.000.000;;2.50m
crocodile;Crocodile;Cross Guild;"Seven Warlords of the Sea,Baroque Works,Impel Down";46;"Mr. 0,Misuta Zero,Sir Crocodile,Sa Kurokodairu,Desert King,Sabaku no O,Kurokodairu";"1,965,000,000";Suna Suna no Mi;Logia;"Chapter 126; Episode 76";253 cm;Pirate;"Cross Guild Officer; Baroque Works President; Proprietor of Rain Dinners; Prisoner of the Great Prison";Grand Line;Alive;Cross GuildSept grands corsaires Baroque Works Pègre;46 ans;"Mr 0 (ミスター・ゼロ, Misutā Zero), Sir Crocodile (サー･クロコダイル, Sā Kurokodairu), Crocodile, クロコダイル, Kurokodairu";"Suna Suna no Mi, Fruit des Sables";Logia;"Royaume d'Alabasta (Rainbase), Île de Kalai Bali";PirateGrand corsaire Boss de Baroque Works;Grand Line;"Chapitre 126 ; Épisode 67Chapitre 0 ; Épisode 0";1.965.000.000Montant inconnu81.000.000;Vivant;"253cm (8'3"")"
crocus;Crocus;Roger Pirates;Laboon;73;Kurokkasu;Unknown;;;"Chapter 102; Episode 62";203 cm;Doctor;"Lighthouse Keeper; Pirate";Grand Line;Alive;Phare du Cap des Jumeaux Équipage des Pirates de Roger;73 ans;"Crocus, クロッカス, Kurokkasu";;;Cap des Jumeaux;Docteur Pirate Gardien de Phare;Grand Line;"Chapitre 102 ; Épisode 62Chapitre 0 ; Épisode 0";Inconnue;Vivant;2m03
curly-dadan;Curly Dadan;Dadan Family;Aucune;55;Kari Dadan;"7,800,000";;;"Chapter 440; Episode 324 (mentioned)Chapter 0; Episode 0 (seen)";221 cm;Mountain Bandit Boss;"Caretaker of Monkey D. Luffy, Portgas D. Ace, and Sabo";East Blue;Alive;Bandits des montagnes;55 ans;"Curly Dadan, カーリー・ダダン, Kārī Dadan";;;Mont Corvo;"BanditsMère d'accueil d'Ace, Luffy et Sabo";East Blue;"Chapitre 582 ; Épisode 493Chapitre 0 ; Épisode 0";7.800.000;Vivante;2m21
dalton;Dalton;Sakura Kingdom;Aucune;35;Doruton;;"Ushi Ushi no Mi, Model: Bison";Zoan;"Chapter 132; Episode 79";218 cm;King of the Sakura Kingdom;"Captain of the Civilian Guard; Captain of Security of the Drum Kingdom";Drum Kingdom;Alive;Royaume des CerisiersRoyaume de Drum;35 ans;"Dalton, Dolton, ドルトン, Doruton";"Ushi Ushi no Mi, modèle: Bison, Fruit du Bovin, Version Bison";Zoan;;Roi du Royaume des CerisiersHomme de main du Roi Wapol du Royaume de Drum capitaine de la sécurité Capitaine de la Garde civile;Île de Drum;"Chapitre 132 ; Épisode 79Chapitre 0 ; Épisode 0";;Vivant;2m18
demalo-black;Demalo Black;Fake Straw Hat Crew;Aucune;36;"Three-Tongued' Demalo Black,Sanmai-jita no Demaro Burakku,Viz,Funimation: 'Triple-Tongued,Demaro Burakku";"26,000,000";;;"Chapter 598; Episode 517";245 cm;Pirate Captain;;East Blue;Alive;Faux Équipage du Chapeau de Paille;36 ans;"Demalo Black ""Aux Trois Langues""(三枚舌のデマロ・ブラック, Sanmai-jita no Demaro Burakku), Demalo Black, Demaro Black, デマロ・ブラック, Demaro Burakku";;;Archipel des Sabaody;Capitaine Pirate;East Blue;"Chapitre 598 ; Épisode 517";26.000.000;;2m45
den;Den;Ile des Hommes Poissons;Aucune;62;Den;;;;"Chapter 616; Episode 534";435 cm;Shipwright;"Sea Forest Researcher; Coating Mechanic";Ryugu Kingdom;Alive;Civil;62 ans;"Den, デン";;;;"Chercheur; Revêteur";Île des Hommes-Poissons (Royaume Ryugu);"Chapitre 616 ; Épisode 534";;Vivant;4m35
denjiro;Denjiro;Kouzuki Family;"Nine Red Scabbards,Kyoshiro Family,Kurozumi Family,Ninja-Pirate-Mink-Samurai Alliance";47;"Kyoshiro,Ushimitsu Kozo,Meaning 'Witching Hour Boy,Dozing Kyoshiro,Inemuri Kyoshiro,'Napping Kyoshiro,Denjiro";;;;"Chapter 919; Episode 909";306 cm;Daimyo;"Samurai; Retainer of the Kouzuki Family; Yakuza Boss; Money Changer; Thief";Wano Country;Alive;Pays de Wa Neuf Fourreaux Rouges Famille Kozuki Famille Kurozumi Famille Kyoshiro;47 ans;"""Kyoshiro le somnolent"" (居眠り狂死郎, Inemuri Kyōshirō) ; ""Môme du clair de lune"" (丑三つ小僧, Ushimitsu Kozō), Denjiro, 傳ジロー, Denjirō";;;Pays des Wa (Capitale des fleurs);Daimyo Serviteur de la Famille Kozuki Samouraï Changeur de monnaie Yakuza Voleur;Pays des Wa;"Chapitre 919 ; Épisode 909";;Vivant;3m06
diamante;Diamante;Donquixote Pirates;Aucune;45;Diamante;"99,000,000";Hira Hira no Mi;Paramecia;"Chapter 700; Episode 629";525 cm;Pirate Executive Officer;"Colosseum Proprietor; Swordsman";North Blue;Alive;Équipage de Don Quijote;45 ans;"""Le Héros du Colisée"" (コロシアムの英雄, Koroshiamu no Eiyū), Diamante, ディアマンテ";"Hira Hira no Mi, Fruit du vol-au-vent";Paramecia;Spider Miles Dressrosa;PirateGladiateur;North Blue;"Chapitre 700 ; Épisode 629";99.000.000;Vivant;5m25
doc-q;Doc Q;Blackbeard Pirates;Aucune;28;"Death God,Shinigami,Grim Reaper' in English versions,Doku Kyu";"72,000,000";Shiku Shiku no Mi;Paramecia;"Chapter 223; Episode 146";342 cm;Titanic Captain (Captain of the Ninth Ship);Doctor;North Blue;Alive;L'Équipage de Barbe Noire;28 ans;"""La Faucheuse"" (死（しに）神（がみ）, Shinigami?), Doc Q, ドクQ, Doku Kyū";"Shiku Shiku no Mi, Fruit de la Maladie";Paramecia;Île de Ruche;Pirate Docteur Commandant de la 9e flotte de l'Équipage de Barbe Noire;North Blue;"Chapitre 223 ; Épisode 146";Au moins 72.000.000;Vivant;3m42
don-quichotte-doflamingo;Don Quichotte Doflamingo;Donquixote Pirates;"Impel Down,Underworld,World Government,Seven Warlords of the Sea,Dressrosa";41;"Joker,Joka,Heavenly Yaksha,Ten Yasha,English versions: 'Heavenly Demon,Donkihote Dofuramingo";"340,000,000";Ito Ito no Mi;Paramecia;"Chapter 233; Episode 151";305 cm;Pirate Captain;"Prisoner of the Great Prison; Underworld Broker; King of Dressrosa; World Noble";Mary Geoise;Alive;L'Équipage de Don Quichotte DoflamingoFamille Don Quichotte;41 ans;"""Joker"" (ジョーカー, Jōkā) ; ""Démon Céleste"" (天夜叉 Ten Yasha), Don Quichotte Doflamingo, Don Quijote Doflamingo, ドンキホーテ・ドフラミンゴ, Donkihōte Dofuramingo";"Ito Ito no Mi, Fruit des fils";Paramecia;Mary Geoise Spider Miles Dressrosa Impel Down;"Pirate, CapitaineCourtier Roi de Dressrosa Grand CorsaireDragon Céleste";Red Line (Mary Geoise);"Chapitre 233 ; Épisode 151Chapitre 0 ; Épisode 0";"340,000,000";Vivant;"3m05 (10'0"")"
dorry;Dorry;Giant Warrior Pirates;Aucune;160;"Dorry the Blue Ogre,Ao-Oni no Dori,Dori";"1,800,000,000";;;"Chapter 116; Episode 71";2260 cm;Pirate Captain;;Elbaph;Alive;L'Équipage des Géants;160 ans;"Dorey, Dorry le Démon Bleu (青鬼のドリー, Ao Oni no Dorī?), Dorry, ドリー, Dorī";;;;Capitaine;Erbaf;"Chapitre 116 ; Épisode 71Chapitre 0 ; Épisode 0";100.000.000 1.800.000.000;Vivant;22m60
drophy;Drophy;New Spiders Cafe;Baroque Works;51;"Miss Merry Christmas,Misu Meri Kurisumasu,4Kids: 'Ms. Groundhog's Day,WT100: 'Miss Merrychristmas,Town-Collapser' Drophy,Machi Otoshi no Dorofi,Dorofi";"14,000,000";Mogu Mogu no Mi;Zoan;"Chapter 160; Episode 103";156 cm;Cafe Waitress;Officer Agent;Grand Line;Alive;Spiders Café Baroque Works;51 ans;"""Miss Merrychristmas"" (ミス・メリークリスマス, Misu Merī Kurisumasu), ""Drophy la Tombeuse de Villes"" (町落としのドロフィー, Machi Otoshi no Dorofī), Drophy, ドロフィー, Dorofī";"Mogu Mogu no Mi, Fruit Fouisseur";Zoan;;Pirate Serveuse Agent Officier;Grand Line;"Chapitre 160 ; Épisode 103";14.000.000;Vivante;1m56
edward-weevil;Edward Weevil;Seven Warlords of the Sea;Aucune;35;"Whitebeard Jr.,Jr.,Shirohige Junia,self-proclaimed,Edowado Wiburu";"480,000,000";;;"Chapter 802; Episode 751";680 cm;Pirate;;Grand Line;Alive;Grand corsaire;35 ans;"""Barbe Blanche Jr."" (白ひげJr., Shirohige Junia) (autoproclamé), Edward Weevil, Edward Weeble, エドワード・ウィーブル, Edowādo Wīburu";;;;Pirate;Grand Line;"Chapitre 802 ; Épisode 751";"480,000,000";Vivant;6m80
emporio-ivankov;Emporio Ivankov;Revolutionary Army;"Freedom Fighters,Kamabakka Kingdom,Newkama Land";53;"Okama King,Okama O,Miracle Person,Kiseki no Hito,Enporio Iwankofu";"100,000,000";Horu Horu no Mi;Paramecia;"Chapter 537; Episode 438";449 cm;G Army Commander of the Revolutionary Army;"Queen of the Kamabakka Kingdom; Queen of Newkama Land; Slave";Kamabakka Kingdom;Alive;Armée RévolutionnaireRoyaume de KamabakkaNewcomer Land;53 ans;"""Le Faiseur de Miracles""(奇跡の人 Kiseki no Hito), Emporio Ivankov, エンポリオ イワン コフ, Enporio Iwankofu";"Horu Horu no Mi, Fruit des Hormones";Paramecia;;"Commandant des Révolutionnaires (Armée G) ;Reine des OkamasPrisonnier d'Impel Down Esclave";Grand Line (Kedétrav);"Chapitre 537 ; Épisode 438";Au moins 100.000.000;Vivant(e);4m49
enel;Enel;God's Army;Automata;39;"God Enel,Goddo Eneru,Eneru";;Goro Goro no Mi;Logia;"Chapter 254; Episode 167";266 cm;God of Skypiea;;Birka;Alive;Clan d'Ener;39 ans;"Ener, ""Dieu Ener"" (神（ゴッド）・エネル, Goddo Eneru), エネル, Eneru";"Goro Goro no Mi, Fulguro-Fruit";Logia;LuneUpper Yard Bilca;Dieu de Skypiea;Îles Célestes (Bilca);"Chapitre 254 ; Épisode 167";Aucune;Vivant;2m66
eustass-kid;Eustass Kid;Kid Pirates;Ninja-Pirate-Mink-Samurai Alliance;23;"Captain,Kyaputen,Yusutasu Kiddo";"3,000,000,000";Jiki Jiki no Mi;Paramecia;"Chapter 498; Episode 392";205 cm;Pirate Captain;;Kutsukku Island;Unknown;L'Équipage de KidOnze Supernovae;23 ans;"Eustass ""Captain"" Kidd (ユースタス・“キャプテン”キッド, Yūsutasu ""Kyaputen"" Kiddo), Eustass Kid, Eustass Kid ; Eustass Kidd, ユースタス・キッド, Yūsutasu Kiddo";"Jiki Jiki no Mi, Magnéto-Fruit";Paramecia;;"Pirate, CapitaineOnze Supernovae";South Blue;"Chapitre 498 ; Épisode 392";"3,000,000,000 470,000,000 315,000,000";Inconnu;2m05
foxy;Foxy;Foxy Pirates;Aucune;38;"Silver Fox,Gin-gitsune,Fokushi";"24,000,000";Noro Noro no Mi;Paramecia;"Chapter 305; Episode 207";180 cm;Pirate Captain;;South Blue;Alive;L'Équipage de Foxy Davy Back Fight;38 ans;"""le Renard Argenté"" (銀ギツネ, Gin-gitsune?), Foxy, フォクシー, Fokushī";"Noro Noro no Mi, Fruit Ramollo";Paramecia;;Capitaine Pirate;South Blue;"Chapitre 305 ; Épisode 207";24.000.000;Vivant;1m80
franky;Franky;Straw Hat Pirates;"Straw Hat Grand Fleet,Franky Family,Tom's Workers,Ninja-Pirate-Mink-Samurai Alliance";36;"Fra-nosuke,Furanosuke,English versions: Franosuke,Cutty Flam,Kati Furamu,Iron Man' Franky,Tetsujin Furanki,Cyborg' Franky,Saibogu Furanki,Furanki";"394,000,000";;;"Chapter 329; Episode 233";240 cm;Shipwright;"Senior Officer; Dismantler; Underworld boss; Bounty Hunter";South Blue;Alive;L'Équipage du Chapeau de PailleFranky Family Tom's Workers;36 ans;"""Franky Le Cyborg"" (""鉄人""フランキー, Saibōgu Furankī), Franky, ""Cutty Flam"" (カティ・フラム, Kati Furamu), フランキー, Furankī";;;Water Seven Baldimore;CharpentierDésosseurPirateChef de la Franky Family;South Blue;"Chapitre 329 ; Épisode 233Chapitre 0 ; Épisode 0";394.000.00094.000.00044.000.000;;2m25 (avant l'ellipse)2m40 (après l'ellipse)
fukaboshi;Fukaboshi;Neptune Family;Aucune;24;Fukaboshi;;;;"Chapter 609; Episode 528";604 cm;Prince of the Ryugu Kingdom;;Ryugu Kingdom;Alive;"Hommes-poissons; Famille royale de l'île des hommes-poissons";24 ans;"Fukaboshi, フカボシ";;;;Prince du Ryugu Palace;Île des Hommes-Poissons (Royaume Ryugu);"Chapitre 609; Épisode 528";;Vivant;6m04
fukurokuju;Fukurokuju;Kurozumi Family;"Beasts Pirates,Orochi Oniwabanshu,Kouzuki Family";61;Fukurokuju;;;;"Chapter 931; Episode 925";221 cm;Ninja;Captain of the Orochi Oniwabanshu;Wano Country;Unknown;O-Niwaban Pays de Wa L'Équipage aux Cent Bêtes;61 ans;"Fukurokuju, 福（ふく）ロクジュ";;;Pays des Wa (Capitale des Fleurs);Ex-Commandant des O-Niwaban Ninja Pirate;Pays des Wa;"Chapitre 931 ; Épisode 925";;Inconnu;2m21
fullbody;Fullbody;Marines;Aucune;28;"Double Ironfist Fullbody,Ryotekken no Furubodi,Ironfist Fullbody,Tekken no Furubodi,Furubodi";"1,000,000";;;"Chapter 43; Episode 20";184 cm;Marine Lieutenant Commander;"Marine Seaman Recruit (promoted), Marine Lieutenant (demoted)";North Blue;Alive;Marine;28 ans;"""Fullbody aux Poings d'Aciers"" (両鉄拳のフルボディ, Ryōtekken no Furubodi), Fullbody, フルボディ, Furubodi";;;;MarinesLieutenant CommandantLieutenant 3e Classe;North Blue;"Chapitre 43 ; Épisode 20";;Vivant;1m84
galdino;Galdino;Cross Guild;"Buggy's Delivery,Buggy Pirates,Buggy and Alvida Alliance,Baroque Works";37;"Mr. 3,Misuta Suri,Loan Shark,Yamikin,Gyarudino";"24,000,000";Doru Doru no Mi;Paramecia;"Chapter 117; Episode 70";179 cm;Pirate;"Officer Agent; Prisoner of the Great Prison";South Blue;Alive;Alliance Baggy et Alvida/Les Pirates d'Expédition Baroque Works Cross Guild;37 ans;"""Mr 3"" (ミスター・スリー, Misutā Surī), ""L'Usurier"" (闇金, Yamikin), Galdino, ギャルディーノ, Gyarudīno";"Doru Doru no Mi, Ciro-Fruit";Paramecia;Alabasta Impel Down Île de Kalai Bali;Agent numéro 3 du Baroque Works Lieutenant de Alliance Baggy et Alvida/Les Pirates d'Expédition Lieutenant de la Cross Guild;South Blue;"Chapitre 117 ; Épisode 70";24.000.000;Vivant;1m79
gan-forr;Gan Forr;Skypiea;Aucune;68;"Knight of the Sky,Sora no Kishi,VIZ and Funimation: Sky Knight,4Kids: Sky Lord,Gan Foru";;;;"Chapter 237; Episode 153";180 cm;God of Skypiea;Mercenary;Skypiea;Alive;Skypiéa;68 ans;"""Le Chevalier des Cieux"" (空 の 騎士 Sora no Kishi), Gan Forr, ガン・フォール, Gan Fōru";;;;Dieu de SkypiéaMercenaire;Skypiea;"Chapitre 237; Épisode 153";;Vivant;1m80
gecko-moria;Gecko Moria;Equipage de Gecko Moria;"Seven Warlords of the Sea,Mysterious Four, Thriller Bark";50;"Kouzuki Moria,Kozuki Moria,'Kozuki Moria,Gekko Moria";"320,000,000";Kage Kage no Mi;Paramecia;"Chapter 449; Episode 343";692 cm;Pirate Captain;Warlord of the Sea;West Blue;Alive;;;"Pirates Gecko, ゲッコー海賊団, Gekkō Kaizokudan, L'Équipage des Pirates Gecko";;;;;;"Chapitre 969 ; Épisode 971";;Dissous;
gedatsu;Gedatsu;Ukkari Hot-Spring Island;God's Army;31;"Sky Boss,Sora Bancho,Sky Punk,4Kids,FUNimation,Gedatsu";;;;"Chapter 241; Episode 155";220 cm;"Priest of Enel, Head Clerk of Hot Springs Resort";;Birka;Alive;Clan d'Ener;31 ans;"""Défenseur Céleste"" (空番長 Sora Banchō), Gedatsu, ゲダツ";;;;Prélat;Îles Célestes (Bilca);"Chapitre 241 ; Épisode 155";;Vivant;2m20
gem;Gem;New Spiders Cafe;Baroque Works;26;"Mr. 5,Misuta Faibu,Gem of the Border,Kokkyo no Jemu,Jemu";"10,000,000";Bomu Bomu no Mi;Paramecia;"Chapter 110; Episode 65";197 cm;Cafe Employee;"Officer Agent; Sniper";South Blue;Alive;"Baroque Works ; Spider's Café";26 ans;"""Mr 5"" (ミスター・ファイブ, Misutā Faibu), ""Gem de la Frontière"" (国境のジェム, Kokkyō no Jemu), Gem, ジェム, Jemu";"Bomu Bomu no Mi, Fruit Boum-Boum";Paramecia;;"Co-propriétaire du Spiders Café ; Agent Officier de Baroque Works";South Blue;"Chapitre 110 ; Épisode 65";10.000.000;;1m97
gerd;Gerd;New Giant Warrior Pirates;"Buggy's Delivery,Straw Hat Grand Fleet";75;Geruzu;;;;"Chapter 866; Episode 836";1700 cm;Pirate;"Doctor; Mercenary";Elbaph;Alive;"Erbaf; Les Pirates d'Expédition ; L'Équipage du Chapeau de Paille; La Grande Flotte du Chapeau de Paille";75 ans;"Gerd, Gerth, ゲルズ, Geruzu";;;Erbaf;Doctoresse;Erbaf;"Chapitre 866; Épisode 836";;Vivante;17 m
gladius;Gladius;Donquixote Pirates;Aucune;33;Guradiusu;"31,000,000";Pamu Pamu no Mi;Paramecia;"Chapter 682; Episode 608";260 cm;Pirate Officer;;North Blue;Alive;L'Équipage de Don Quichotte Doflamingo;33 ans;"Gladius, グラディウス, Guradiusu";"Pamu Pamu no Mi, Fruit Paf-paf";Paramecia;Spider Miles Dressrosa;PirateAssassin;North Blue;"Chapitre 682 ; Épisode 608";31.000.000;;2.60 m
gotti;Gotti;Fire Tank Pirates;Aucune;33;Gotti;"90,000,000";;;"Chapter 825; Episode 783";375 cm;"Pirate, Assassin, Combatant";;West Blue;Alive;L'Équipage du Fire Tank;33 ans;"Gotti, Gotty, ゴッティ";;;;AssassinPirates;West Blue;"Chapitre 825 ; Épisode 783";90.000.000;Vivant;3m75
hack;Hack;Revolutionary Army;Aucune;38;"Hundredth Dan Hack,Hyakudan Hakku,Hundredth-Degree Hack,Hakku";;;;"Chapter 706; Episode 633";280 cm;Revolutionary Army memberFish-Man Karate InstructorFish-Man Jujutsu Martial Artist;;Ryugu Kingdom;Alive;Armée Révolutionnaire;38 ans;"Hack, ハック, Hakku";;;;Maître du Karaté des Hommes-PoissonsRévolutionnaire;Île des Hommes-Poissons;"Chapitre 706 ; Épisode 632";;Vivant;2m80
haguar-d-sauro;Haguar D. Sauro;Walrus School;"Marines ,Clan of D.";127;Haguwaru Di Sauro;;;;"Chapter 392; Episode 275";1950 cm;History TeacherVice Admiral;;South Blue;Alive;"Marines ; Clan des D.";105 (passé)127 (actuellement);"Haguar D. Sauro, ハグワール・D（ディー）・サウロ, Haguwāru Dī Sauro";;;Erbaf;Professeur d'HistoireVice-Amiral;South Blue;"Chapitre 392, Épisode 275";;Vivant;19m50
hajrudin;Hajrudin;New Giant Warrior Pirates;"Buggy's Delivery,Straw Hat Grand Fleet,Elbaph Royal Family";81;Hairudin;;;;"Chapter 706; Episode 639";2200 cm;Captain of the Sixth Ship of the Straw Hat Grand Fleet;"Pirate Captain; Mercenary; Prince";Elbaph;Alive;"ErbafLes Pirates d'Expédition L'Équipage du Chapeau de Paille, La Grande Flotte du Chapeau de Paille";81 ans;"""Le Pirate Mercenaire"" (海賊傭兵 Kaizoku Yōhē), Hajrudin, ハイルディン, Hairudin";;;;PirateGuerrierCapitaine (Commandant d'une Flotte);Erbaf;"Chapitre 706 ; Épisode 639";;Vivant;22.00 m
hannyabal;Hannyabal;Impel Down;Aucune;35;Hannyabaru;;;;"Chapter 525; Episode 422";309 cm;Chief Warden;Vice Warden;South Blue;Alive;Gouvernement MondialImpel Down;35 ans;"Hannyabal, ハンニャバル, Hannyabaru";;;;DirecteurVice Directeur;South Blue;"Chapitre 525 ; Épisode 422Chapitre 0 ; Épisode 0";;Vivant;3m09
haredas;Haredas;Weatheria;Aucune;97;Haredasu;;;;"Chapter 523; Episode 418";253 cm;Scientist;;Birka;Alive;Weatheria;97 ans;"Haredas, ハレダス, Haredasu";;;Weatheria;Scientifique;Îles Célestes (Bilca);"Chapitre 523 ; Épisode 418";;Vivant;2m53
hina;Hina;Marines;Black Cage Corps;34;"Black Cage Hina,Kuro Ori no Hina,Hina";"200,000,000";Ori Ori no Mi;Paramecia;"Chapter 171 (cover); Episode 127";181 cm;Rear Admiral;Captain;West Blue;Alive;"Marine ; L’Escadre des Harpons Noirs";34 ans;"""Hina la Cage Noire"" (黒檻のヒナ, Kuro Ori no Hina), ""Hina la Dame de Fer"", Hina, ヒナ";"Ori Ori no Mi, Fruit du séquestre";Paramecia;;"Marine ; Capitaine ; Sous-Amiral";West Blue;"Chapitre 171 (Couverture) ; Chapitre 212 ; Épisode 127";;Vivante;1m81
hody-jones;Hody Jones;New Fish-Man Pirates;"Ally of the Flying Pirates,Ryugu Kingdom";30;Hodi Jonzu;;;;"Chapter 608; Episode 527";331 cm;Pirate;"Captain; Soldier";Ryugu Kingdom;Alive;L'Équipage des Nouveaux Hommes-Poissons;30 ans;"Hody Jones, ホーディ・ジョーンズ, Hōdi Jōnzu";;;;Capitaine PirateSoldat de l'armée de Ryugu;Île des Hommes-Poissons (Royaume Ryugu);"Chapitre 608 ; Épisode 527";;Vivant;3m31
hogback;Hogback;Equipage de Gecko Moria;"Mysterious Four, Thriller Bark";47;"Doctor Hogback,Dokutoru Hogubakku,Genius Surgeon,Tensai Gekai,Hogubakku";;;;"Chapter 446; Episode 340";223 cm;Doctor;;West Blue;Alive;Gecko Moria Thriller Bark Quatre Mystérieux;47 ans;"Hogback, ホグバック, Hogubakku";;;;Docteur;West Blue;"Chapitre 446 ; Épisode 340";;Inconnu;2m33
holdem;Holdem;Beasts Pirates;Aucune;30;Horudemu;;;Artificial Zoan;"Chapter 915; Episode 901";312 cm;Shinuchi;;Wano Country;Alive;Équipage des cent bêtes;30 ans;"Holdem, ホールデム, Hōrudemu";Smile du lion;SMILE;;"Pirate; Headliner";Pays des Wa;"Chapitre 914; Épisode 901";;Vivant;3m12
ideo;Ideo;Ideo Pirates;Straw Hat Grand Fleet;22;"Destruction Cannon,Hakai Ho,Ideo";;;;"Chapter 706; Episode 633";225 cm;Captain of the Fourth Ship of the Straw Hat Grand Fleet;"Pirate Captain; Boxer";Grand Line;Alive;"L'Équipage d'Ideo ;La Grande Flotte du Chapeau de Paille ;Central Fighting Club du Nouveau Monde ;Colisée Corrida";22 ans;"""Le Canon Destructeur"" (駆逐艦砲, Kuchiku Kanhō), Ideo, ィデオ";;;;"Boxeur, Gladiateur";Grand Line;"Chapitre 706; Épisode 632";;Vivant;2m25
inazuma;Inazuma;Kamabakka Kingdom;"Newkama Land,Revolutionary Army,Impel Down";29;Inazuma;"100,000,000";Choki Choki no Mi;Paramecia;"Chapter 536; Episode 438";228 cm;Revolutionary;Prisoner of the Great Prison;South Blue;Alive;Révolutionnaires Kedétrav;29 ans;"""Crabe-chan"" (カニ, Kani-chan), Inazuma, イナズマ";"Choki Choki no Mi, Fruit des Ciseaux";Paramecia;Kedétrav;Sous-Commandant de l'Armée G;South Blue;"Chapitre 536 ; Épisode 438";Au moins 100.000.000;Vivant;2.28 m
inuarashi;Inuarashi;Mokomo Dukedom;"Musketeers,Kouzuki Family,Inuarashi Musketeer Squad,Ninja-Pirate-Mink-Samurai Alliance ,Nine Red Scabbards,Roger Pirates,Whitebeard Pirates";40;"Duke Inuarashi,Inuarashi Koshaku,English versions: 'Duke Dogstorm,Ruler of Day,Hiru no O,Simulcast subs: 'King of Day,Inuarashi";;;;"Chapter 808; Episode 756";511 cm;Daimyo;"Ruler of the Mokomo Dukedom; Commander of the Musketeers; Retainer; Samurai; Pirate Apprentice";Mokomo Dukedom;Alive;Principauté de Mokomo Famille Kozuki L'Équipage des Pirates Roger L'Équipage de Barbe Blanche Neuf Fourreaux Rouges Alliance des Ninjas-Pirates-Minks-Samouraïs;40 ans;"Le Roi de l'Aurore (昼の王, Hiru no Ō)- Duc Inuarashi (イヌアラシ公爵, Inuarashi Kōshaku), Inuarashi, Caborage, イヌアラシ, Inu-Arashi";;;Pays des Wa (Kuri);Daimyo Guardians de la Forêt de la Baleine Pirate;Zou (Principauté de Mokomo);"Chapitre 808 ; Épisode 758 ; Épisode 755 (mentionné)";;Vivant;5m11
issho;Issho;Marines;Aucune;54;"Fujitora,literally meaning 'Wisteria Tiger,Issho";"3,000,000,000";Zushi Zushi no Mi;Paramecia;"Chapter 701; Episode 630";270 cm;Admiral;"Guard Captain; Bodyguard";Aoi Kingdom;Alive;Marines;54 ans;"""Fujitora"" (紫虎, Fujitora, signifiant littéralement ""Tigre Violet""), Issho, イッショウ, Isshō";"Zushi Zushi no Mi, Inconnu";Paramecia;;Amiral Chef militaire Garde du corps;Grand Line;"Chapitre 701 ; Épisode 630";"(3,000,000,000)";Vivant;2m70
